|6.6.6
h2o_1E-14_3.tab                                                                                     
           2
f_CO2   
  -12.000000000000000     
   4.1139240506329111E-002
         317
f_O2    
  -110.00000000000000     
  0.34810126582278483     
         317
           8
f_CO2          f_O2           MgO,wt%        FeO,wt%        SiO2,wt%       H2O,wt%        O2,wt%         CO2,wt%       
 -7.84494       -110.000        29.8683        35.4946        37.1057        0.00000       -7.90454        5.43589     
 -7.80380       -110.000        29.8683        35.4946        37.1057        0.00000       -7.90452        5.43591     
 -7.76266       -110.000        29.8683        35.4946        37.1057        0.00000       -7.90452        5.43593     
 -7.72152       -110.000        29.8683        35.4946        37.1057        0.00000       -7.90451        5.43593     
 -7.68038       -110.000        29.8683        35.4946        37.1057        0.00000       -7.90451        5.43595     
 -7.63924       -110.000        29.8683        35.4946        37.1057        0.00000       -7.90450        5.43596     
 -7.59810       -110.000        29.8683        35.4946        37.1057        0.00000       -7.90449        5.43597     
 -7.55696       -110.000        29.8683        35.4945        37.1056        0.00000       -7.90449        5.43599     
 -7.51582       -110.000        29.8683        35.4945        37.1056        0.00000       -7.90447        5.43601     
 -7.47468       -110.000        29.8683        35.4945        37.1056        0.00000       -7.90446        5.43603     
 -7.43354       -110.000        29.8683        35.4945        37.1056        0.00000       -7.90445        5.43605     
 -7.39241       -110.000        29.8683        35.4945        37.1056        0.00000       -7.90444        5.43607     
 -7.35127       -110.000        29.8683        35.4945        37.1056        0.00000       -7.90443        5.43610     
 -7.31013       -110.000        29.8682        35.4945        37.1056        0.00000       -7.90441        5.43613     
 -7.26899       -110.000        29.8682        35.4945        37.1055        0.00000       -7.90440        5.43616     
 -7.22785       -110.000        29.8682        35.4944        37.1055        0.00000       -7.90438        5.43619     
 -7.18671       -110.000        29.8682        35.4944        37.1055        0.00000       -7.90436        5.43624     
 -7.14557       -110.000        29.8682        35.4944        37.1055        0.00000       -7.90433        5.43628     
 -7.10443       -110.000        29.8681        35.4944        37.1055        0.00000       -7.90431        5.43634     
 -7.06329       -110.000        29.8681        35.4943        37.1054        0.00000       -7.90429        5.43637     
 -7.02215       -110.000        29.8681        35.4943        37.1054        0.00000       -7.90424        5.43647     
 -6.98101       -110.000        29.8681        35.4943        37.1054        0.00000       -7.90421        5.43653     
 -6.93987       -110.000        29.8680        35.4942        37.1053        0.00000       -7.90415        5.43664     
 -6.89873       -110.000        29.8680        35.4942        37.1053        0.00000       -7.90415        5.43664     
 -6.85759       -110.000        29.8680        35.4942        37.1052        0.00000       -7.90411        5.43672     
 -6.81646       -110.000        23.4849        27.9087        29.1755        0.00000       -6.21479        25.6456     
 -6.77532       -110.000        23.4849        27.9087        29.1755        0.00000       -6.21472        25.6457     
 -6.73418       -110.000        23.4849        27.9087        29.1754        0.00000       -6.21467        25.6457     
 -6.69304       -110.000        23.4849        27.9087        29.1754        0.00000       -6.21467        25.6457     
 -6.65190       -110.000        23.4847        27.9085        29.1753        0.00000       -6.21449        25.6460     
 -6.61076       -110.000        23.4847        27.9085        29.1752        0.00000       -6.21445        25.6461     
 -6.56962       -110.000        23.4846        27.9084        29.1752        0.00000       -6.21438        25.6462     
 -6.52848       -110.000        23.4846        27.9083        29.1751        0.00000       -6.21427        25.6463     
 -6.48734       -110.000        23.4845        27.9082        29.1750        0.00000       -6.21416        25.6465     
 -6.44620       -110.000        23.4844        27.9081        29.1749        0.00000       -6.21405        25.6466     
 -6.40506       -110.000        23.4843        27.9080        29.1748        0.00000       -6.21395        25.6468     
 -6.36392       -110.000        23.4842        27.9079        29.1746        0.00000       -6.21379        25.6470     
 -6.32278       -110.000        23.4841        27.9078        29.1745        0.00000       -6.21363        25.6473     
 -6.28165       -110.000        23.4840        27.9076        29.1744        0.00000       -6.21347        25.6475     
 -6.24051       -110.000        23.4839        27.9075        29.1742        0.00000       -6.21331        25.6477     
 -6.19937       -110.000        23.4837        27.9073        29.1740        0.00000       -6.21308        25.6480     
 -6.15823       -110.000        23.4835        27.9071        29.1738        0.00000       -6.21285        25.6484     
 -6.11709       -110.000        23.4834        27.9069        29.1736        0.00000       -6.21262        25.6487     
