|6.6.6
h2o_1E-14_3.tab                                                                                     
           2
f_CO2   
  -12.000000000000000     
   4.1139240506329111E-002
         317
f_O2    
  -110.00000000000000     
  0.34810126582278483     
         317
           5
f_CO2          f_O2           C[O(HP)1]      C[Opx(HP)2]    C[Cc(AE)3]    
 -3.44304       -110.000                 NaN            NaN  0.890731     
 -3.40190       -110.000                 NaN            NaN  0.871585     
 -3.36076       -110.000                 NaN            NaN  0.849907     
 -3.31962       -110.000                 NaN            NaN  0.808685     
 -3.27848       -110.000                 NaN            NaN  0.840392     
 -3.23734       -110.000                 NaN            NaN  0.765905     
 -3.19620       -110.000                 NaN            NaN  0.807099     
 -3.15506       -110.000                 NaN            NaN  0.762538     
 -3.11392       -110.000                 NaN            NaN  0.766865     
 -3.07278       -110.000                 NaN            NaN  0.743700     
 -3.03165       -110.000                 NaN            NaN  0.718237     
 -2.99051       -110.000                 NaN            NaN  0.690236     
 -2.94937       -110.000                 NaN            NaN  0.659459     
 -2.90823       -110.000                 NaN            NaN  0.625626     
 -2.86709       -110.000                 NaN            NaN  0.600000     
 -2.82595       -110.000                 NaN            NaN  0.600000     
 -2.78481       -110.000                 NaN            NaN  0.600000     
 -2.74367       -110.000                 NaN            NaN  0.600000     
 -2.70253       -110.000                 NaN            NaN  0.600000     
 -2.66139       -110.000                 NaN            NaN  0.600000     
 -2.62025       -110.000                 NaN            NaN  0.600000     
 -2.57911       -110.000                 NaN            NaN  0.600000     
 -2.53797       -110.000                 NaN            NaN  0.600000     
 -2.49684       -110.000                 NaN            NaN  0.600000     
 -2.45570       -110.000                 NaN            NaN  0.600000     
 -2.41456       -110.000                 NaN            NaN  0.600000     
 -2.37342       -110.000                 NaN            NaN  0.600000     
 -2.33228       -110.000                 NaN            NaN  0.600000     
 -2.29114       -110.000                 NaN            NaN  0.600000     
 -2.25000       -110.000                 NaN            NaN  0.600000     
 -2.20886       -110.000                 NaN            NaN  0.600000     
 -2.16772       -110.000                 NaN            NaN  0.600000     
 -2.12658       -110.000                 NaN            NaN  0.600000     
 -2.08544       -110.000                 NaN            NaN  0.600000     
 -2.04430       -110.000                 NaN            NaN  0.600000     
 -2.00316       -110.000                 NaN            NaN  0.600000     
 -1.96203       -110.000                 NaN            NaN  0.600000     
 -1.92089       -110.000                 NaN            NaN  0.600000     
 -1.87975       -110.000                 NaN            NaN  0.600000     
 -1.83861       -110.000                 NaN            NaN  0.600000     
 -1.79747       -110.000                 NaN            NaN  0.600000     
 -1.75633       -110.000                 NaN            NaN  0.600000     
 -1.71519       -110.000                 NaN            NaN  0.600000     
 -1.67405       -110.000                 NaN            NaN  0.600000     
 -1.63291       -110.000                 NaN            NaN  0.600000     
 -1.59177       -110.000                 NaN            NaN  0.600000     
 -1.55063       -110.000                 NaN            NaN  0.600000     
 -1.50949       -110.000                 NaN            NaN  0.600000     
 -1.46835       -110.000                 NaN            NaN  0.600000     
 -1.42722       -110.000                 NaN            NaN  0.600000     
 -1.38608       -110.000                 NaN            NaN  0.600000     
 -1.34494       -110.000                 NaN            NaN  0.600000     
 -1.30380       -110.000                 NaN            NaN  0.600000     
 -1.26266       -110.000                 NaN            NaN  0.600000     
 -1.22152       -110.000                 NaN            NaN  0.600000     
 -1.18038       -110.000                 NaN            NaN  0.600000     
 -1.13924       -110.000                 NaN            NaN  0.600000     
 -1.09810       -110.000                 NaN            NaN  0.600000     
 -1.05696       -110.000                 NaN            NaN  0.600000     
 -1.01582       -110.000                 NaN            NaN  0.600000     
-0.974684       -110.000                 NaN            NaN  0.600000     
-0.933544       -110.000                 NaN            NaN  0.600000     
-0.892405       -110.000                 NaN            NaN  0.600000     
-0.851266       -110.000                 NaN            NaN  0.600000     
-0.810127       -110.000                 NaN            NaN  0.600000     
-0.768987       -110.000                 NaN            NaN  0.600000     
-0.727848       -110.000                 NaN            NaN  0.600000     
-0.686709       -110.000                 NaN            NaN  0.600000     
-0.645570       -110.000                 NaN            NaN  0.600000     
-0.604430       -110.000                 NaN            NaN  0.600000     
-0.563291       -110.000                 NaN            NaN  0.600000     
-0.522152       -110.000                 NaN            NaN  0.600000     
-0.481013       -110.000                 NaN            NaN  0.600000     
-0.439873       -110.000                 NaN            NaN  0.600000     
-0.398734       -110.000                 NaN            NaN  0.600000     
-0.357595       -110.000                 NaN            NaN  0.600000     
-0.316456       -110.000                 NaN            NaN  0.600000     
-0.275316       -110.000                 NaN            NaN  0.600000     
-0.234177       -110.000                 NaN            NaN  0.600000     
-0.193038       -110.000                 NaN            NaN  0.600000     
-0.151899       -110.000                 NaN            NaN  0.600000     
-0.110759       -110.000                 NaN            NaN  0.600000     
-0.696203E-001  -110.000                 NaN            NaN  0.600000     
-0.284810E-001  -110.000                 NaN            NaN  0.600000     
 0.126582E-001  -110.000                 NaN            NaN  0.600000     
 0.537975E-001  -110.000                 NaN            NaN  0.600000     
 0.949367E-001  -110.000                 NaN            NaN  0.600000     
 0.136076       -110.000                 NaN            NaN  0.600000     
 0.177215       -110.000                 NaN            NaN  0.600000     
 0.218354       -110.000                 NaN            NaN  0.600000     
 0.259494       -110.000                 NaN            NaN  0.600000     
 0.300633       -110.000                 NaN            NaN  0.600000     
 0.341772       -110.000                 NaN            NaN  0.600000     
 0.382911       -110.000                 NaN            NaN  0.600000     
 0.424051       -110.000                 NaN            NaN  0.600000     
 0.465190       -110.000                 NaN            NaN  0.600000     
 0.506329       -110.000                 NaN            NaN  0.600000     
 0.547468       -110.000                 NaN            NaN  0.600000     
 0.588608       -110.000                 NaN            NaN  0.600000     
 0.629747       -110.000                 NaN            NaN  0.600000     
 0.670886       -110.000                 NaN            NaN  0.600000     
 0.712025       -110.000                 NaN            NaN  0.600000     
 0.753165       -110.000                 NaN            NaN  0.600000     
 0.794304       -110.000                 NaN            NaN  0.600000     
 0.835443       -110.000                 NaN            NaN  0.600000     
 0.876582       -110.000                 NaN            NaN  0.600000     
 0.917722       -110.000                 NaN            NaN  0.600000     
 0.958861       -110.000                 NaN            NaN  0.600000     
  1.00000       -110.000                 NaN            NaN  0.600000     
 -12.0000       -109.652       0.999998       0.999996                 NaN
 -11.9589       -109.652       0.999997       0.999993                 NaN
 -11.9177       -109.652       0.999998       0.999996                 NaN
 -11.8766       -109.652       0.999996       0.999991                 NaN
 -11.8354       -109.652       0.999998       0.999996                 NaN
 -11.7943       -109.652       0.999996       0.999991                 NaN
 -11.7532       -109.652       0.999996       0.999991                 NaN
 -11.7120       -109.652       0.999996       0.999991                 NaN
 -11.6709       -109.652       0.999997       0.999993                 NaN
 -11.6297       -109.652       0.999997       0.999993                 NaN
 -11.5886       -109.652       0.999996       0.999991                 NaN
 -11.5475       -109.652       0.999996       0.999991                 NaN
 -11.5063       -109.652       0.999996       0.999991                 NaN
 -11.4652       -109.652       0.999996       0.999991                 NaN
 -11.4241       -109.652       0.999996       0.999991                 NaN
 -11.3829       -109.652       0.999996       0.999991                 NaN
 -11.3418       -109.652       0.999997       0.999993                 NaN
 -11.3006       -109.652       0.999997       0.999993                 NaN
 -11.2595       -109.652       0.999996       0.999991                 NaN
 -11.2184       -109.652       0.999996       0.999991                 NaN
 -11.1772       -109.652       0.999996       0.999991                 NaN
 -11.1361       -109.652       0.999996       0.999991                 NaN
